ID,Landuse2009,D_station,D_Road,D_River,D_Open,Pop_density,DEM,Slope,Entropy,Landvalue,Area,Zone,Results,Landuse2014
1,2,855.772,35.9648,569.561,194.126,2768.07,17.785,4.43652,0.808043,8103764.338,1011.706075,2,1,2
2,1,627.341,22.2113,94.2509,95.4936,21230.9,-0.916586,49.6896,0.842065,36814204.89,240.9784392,3,3,3
3,3,74.7146,37.3087,269.31,158.922,12129.2,3.34813,1.22281,0.784119,38783507.99,2279.616479,3,1,3
4,3,67.7473,31.788,272.849,193.716,12129.2,2.03821,20.4752,0.786901,39467194,916.4236834,3,1,3
5,1,84.9993,31.6374,259.425,198.685,12129.2,-13.3475,31.7132,0.811075,38835452.87,916.4212026,3,1,1
6,1,103.297,31.4878,246.912,198.684,12129.2,-16.0578,15.0375,0.829117,39986268.76,916.4251647,3,1,1
7,1,122.169,31.3363,235.457,198.685,12129.2,-15.7338,24.1323,0.841854,38621757.83,916.3758642,3,1,1
8,3,141.387,32.396,206.584,196.311,12129.2,2.70462,14.7615,0.865177,37552042.32,2832.156006,3,1,3
9,3,206.028,20.7328,152.119,141.752,12129.2,4.0286,2.75506,0.891671,38670876.2,893.2493623,3,1,3
10,3,161.338,30.6261,179.788,151.793,12129.2,2.39456,16.187,0.880812,37832522.3,1723.717824,3,1,3
11,1,143.224,31.8617,198.773,153.14,12129.2,-12.9593,28.6691,0.849957,38368020.33,916.1126581,3,1,1
12,1,127.536,31.7876,212.23,153.141,12129.2,-16.0966,21.3588,0.829117,39986268.76,916.1241211,3,1,1
13,1,113.26,31.7127,226.674,153.14,12129.2,-13.7882,34.2696,0.813141,38585661.52,916.0289921,3,1,1
14,3,186.581,31.2547,168.903,175.905,12129.2,5.1766,2.33454,0.883982,37294085.69,1784.066419,3,1,3
15,3,41.826,26.3409,298.254,164.566,12129.2,3.84384,0.488172,0.760051,39914571.01,1376.270325,3,1,3
16,3,100.991,31.6392,241.93,153.141,12129.2,1.5394,20.9485,0.804084,38720849.72,916.031918,3,1,3
17,4,48.9913,20.0083,363.428,174.512,16500.8,4.2524,1.12182,0.67612,48097318.44,894.7983767,3,1,4
18,1,645.779,68.456,161.113,156.736,4159.78,16.9614,12.9767,0.876703,7238296.011,511.5965729,3,1,1
19,3,576.526,62.7481,157.393,157.335,4159.78,25.4597,11.1503,0.868628,6619369.958,958.8078957,3,1,3
20,1,633.797,67.0961,165.284,149.349,4159.78,14.5929,12.8447,0.874686,8962711.922,483.3529908,3,1,1
22,1,410.188,42.8,77.2832,45.8643,4159.78,18.8411,9.07961,0.794013,1382345.444,970.741961,3,1,1
23,1,501.116,33.8398,716.846,193.496,3905.26,4.85415,2.42386,0.726984,12063364.93,1556.602753,3,1,1
24,1,339.044,163.906,1029.13,152.982,3141.73,10.6812,2.42622,0.778052,2937533.939,424.2789658,3,1,1
27,3,202.274,23.549,943.74,76.843,2491.25,10.7258,3.57891,0.647128,4681.135853,426.3905626,3,1,3
28,1,453.417,8.20555,1003.36,48.9606,6627.57,15.1251,1.51722,0.884066,4994847.869,148.4239446,3,1,1
29,1,1092.36,170.848,139.564,79.8633,3587.94,24.8674,16.0772,0.721819,6274640.548,1458.324071,2,1,1
30,1,889.785,73.9057,359.14,57.4116,3773.6,44.7339,8.38675,0.471397,7861952.633,471.5226131,2,1,1
31,1,876.125,68.7656,371.361,76.7628,3773.6,44.5006,3.07656,0.458697,8476972.651,328.4105319,2,1,1
32,1,860.551,64.4426,381.955,86.1006,3773.6,44.6949,3.40571,0.441836,6932897.434,500.6346842,2,1,1
33,1,833.81,64.6284,396.179,99.8503,3773.6,45.0017,5.59194,0.449397,6675322.97,820.2085778,2,1,1
34,1,910.915,187.891,31.9478,39.2361,4100.66,18.1222,22.6787,0.827039,9830667.904,1865.693306,2,1,1
36,3,928.837,31.3502,162.32,59.1857,5755.96,29.446,8.57111,0.767935,5921213.189,865.9994398,3,1,3
37,1,1039.38,17.2666,264.651,252.271,5755.96,16.6339,4.89336,0.700653,6464984.664,474.586259,3,3,3
38,1,133.71,28.5197,2067.77,59.0929,4088.59,36.1588,11.4601,0.568168,4414100.66,344.1070565,2,1,1
39,1,105.154,90.0693,1560.39,46.2433,3125.72,36.9996,9.63528,0.823772,6275342.168,4685.121099,3,3,3
40,1,501.08,151.317,1649.74,128.897,4992.35,52.9665,8.43138,0.634256,6750266.259,306.7630437,1,1,1
41,1,1421.4,91.5094,237.895,23.4107,1485.7,3.54939,1.12818,0.90519,11333474.9,396.3921472,3,1,1
42,1,473.087,81.1332,616.732,244.022,4883.75,11.4421,3.60301,0.683682,7926306.598,949.6842601,2,1,1
43,1,613.78,23.2782,96.5727,95.194,21230.9,-5.10631,25.6582,0.841718,34005195.95,272.2928819,3,3,3
44,3,359.948,43.412,45.2881,51.0156,1450.08,10.4136,15.4769,0.856,13712133.44,2203.20439,3,1,3
45,3,536.111,60.304,60.5603,55.883,21230.9,8.51802,7.41663,0.862402,35925285.02,2628.683164,3,1,3
46,3,576.004,85.8829,21.8191,51.7963,21230.9,4.03255,7.01529,0.855926,28485976.06,3519.393689,3,1,3
47,3,504.721,76.8671,30.1043,17.047,21230.9,8.10267,9.61251,0.859953,31023678.4,2621.291,3,1,3
48,3,436.168,36.709,44.3334,30.772,59936.4,10.0055,8.82624,0.856743,33273922.55,3862.629621,3,1,3
49,3,77.3165,55.1103,334.085,40.2337,15356.8,6.83528,6.31564,0.757402,34237609.88,3664.813625,3,1,3
50,3,47.1571,21.2755,357.457,96.0888,15356.8,4.07054,2.47246,0.717288,33490568.14,458.0895627,3,1,3
51,3,107.509,20.5617,311.708,100.508,15356.8,3.73043,1.3239,0.724524,38633370.39,912.7306886,3,1,3
52,3,202.527,35.3848,186.627,42.6508,15202.3,4.01385,0.713697,0.896465,27324482.91,916.0737004,3,1,3
53,3,208.847,34.7015,168.58,42.6501,15202.3,3.91829,0.728116,0.896465,28039855.46,916.0921682,3,1,3
54,3,167.54,33.7144,188.707,87.7167,15202.3,3.75141,1.00702,0.896465,28039855.46,916.1106799,3,1,3
55,3,159.574,33.7897,206.051,87.7165,15202.3,3.88615,0.941029,0.896465,27324482.91,916.1055998,3,1,3
56,1,547.072,29.1438,181.208,10.0794,5318.26,21.9995,14.9704,0.777786,37371173.63,36.57822463,3,1,1
57,1,620.531,23.2128,94.868,94.4467,21230.9,-4.63363,31.228,0.842036,35918452.61,271.4154328,3,3,3
58,3,172.307,32.9766,347.454,49.8707,15356.8,7.38164,4.62913,0.784841,24173594.47,1505.764783,3,1,3
59,3,39.5225,38.0708,335.38,106.7,15356.8,3.8031,1.24438,0.720059,34297519.7,1369.223724,3,1,3
